,Label,VehicleID,Distance_driven,Sum_warning,Sum_warning_speed,Sum_secure_dist,Sum_TTC_respect,Sum_safe_dist,Sum_Emergency_Brake
3322,Slow,slow1132,3883.6677303848705,1,0,0,0,0,1
3323,Dangerous,dang1134,2827.4997225047946,134,1,59,3,71,0
3324,Dangerous,dang1135,4644.333156578534,206,126,35,8,36,1
3325,Normal,normal1138,4326.815622329395,26,26,0,0,0,0
3326,Slow,slow1133,2288.6705760099294,1,0,1,0,0,0
3327,Dangerous,dang1136,4394.687025199112,303,5,225,7,64,2
3328,Normal,normal1139,1932.3838041574775,23,23,0,0,0,0
3329,Dangerous,dang1137,583.7215242414302,33,0,29,2,1,1
3330,Normal,normal1140,5240.054660525945,106,8,0,5,92,1
3331,Slow,slow1134,2833.72435669276,2,0,0,2,0,0
3332,Slow,slow1135,4593.008784332813,3,0,0,3,0,0
3333,Dangerous,dang1138,4321.279580299226,238,27,160,6,45,0
3334,Normal,normal1141,5166.7626471993435,71,2,2,2,65,0
3335,Slow,slow1087,3353.399277760822,14,0,4,10,0,0
3336,Slow,slow1136,4382.664965709704,3,0,1,2,0,0
3337,Dangerous,dang1139,1914.9141517861897,112,28,1,4,78,1
3338,Slow,slow1137,591.4360442978111,2,0,0,2,0,0
3339,Dangerous,dang1140,5260.240293492404,328,204,27,12,76,9
3340,Normal,normal1143,1035.1982435034427,1,1,0,0,0,0
3341,Slow,slow1138,4329.604496817782,2,0,0,2,0,0
3342,Dangerous,dang1141,5963.29752785376,353,27,197,9,116,4
3343,Normal,normal1144,2442.5898619814307,9,2,5,1,1,0
3344,Slow,slow1139,1928.5337146150182,6,0,0,2,0,4
3345,Normal,normal1145,3140.594693336704,119,100,9,0,10,0
3346,Slow,slow1140,5029.205829551434,8,0,2,6,0,0
3347,Dangerous,dang1143,1031.1351814848765,80,1,71,4,4,0
3348,Normal,normal1146,2247.6399267442293,3,1,0,0,1,1
3349,Slow,slow1141,4600.994539575529,2,0,0,2,0,0
3350,Dangerous,dang1144,2436.784925875126,162,2,139,6,14,1
3351,Normal,normal1147,6210.965121854005,171,48,2,6,115,0
3352,Dangerous,dang1145,3487.923830815573,103,67,20,2,14,0
3353,Slow,slow1143,1041.2256184402863,0,0,0,0,0,0
3354,Dangerous,dang1146,2242.4349406249244,87,33,44,2,6,2
3355,Normal,normal1130,2205.17056203101,22,2,10,6,1,3
3356,Normal,normal1149,1250.5072303453014,5,0,2,3,0,0
3357,Slow,slow1144,2437.341402849925,6,0,3,3,0,0
3358,Dangerous,dang1147,7847.4436289158675,368,141,50,6,169,2
3359,Normal,normal1150,594.3614899029544,2,2,0,0,0,0
3360,Slow,slow1145,3142.028663983325,9,0,1,8,0,0
3361,Normal,normal1148,5836.103581264758,72,1,25,7,39,0
3362,Normal,normal1151,4005.817098352506,194,2,15,4,172,1
3363,Slow,slow1146,2246.248185555622,2,0,2,0,0,0
3364,Slow,slow1147,5343.681545174217,7,0,4,3,0,0
3365,Dangerous,dang1130,2206.869421870846,222,27,112,5,75,3
3366,Dangerous,dang1149,1257.694598054053,53,34,16,3,0,0
3367,Normal,normal1152,4658.321400948219,47,3,1,4,39,0
3368,Dangerous,dang1150,588.7983721048865,32,3,26,1,1,1
3369,Normal,normal1153,3349.912069478137,122,72,0,4,46,0
3370,Dangerous,dang1148,5868.135236725922,323,33,193,17,73,7
3371,Dangerous,dang1151,4248.217998141743,538,113,122,18,274,11
3372,Normal,normal1154,4964.9902489045435,121,1,25,6,87,2
3373,Slow,slow1130,2210.550733907906,8,0,2,6,0,0
3374,Slow,slow1149,1258.3450734096375,0,0,0,0,0,0
3375,Dangerous,dang1152,4782.952251822129,213,45,88,11,62,7
3376,Normal,normal1155,3754.4125468351117,188,0,15,6,164,3
3377,Slow,slow1150,593.9193680723189,1,1,0,0,0,0
