,Label,VehicleID,Distance_driven,Sum_warning,Sum_warning_speed,Sum_secure_dist,Sum_TTC_respect,Sum_safe_dist,Sum_Emergency_Brake
513,Dangerous,dang174,3595.1875886353137,102,34,67,0,1,0
514,Slow,slow173,4355.769073003392,0,0,0,0,0,0
515,Normal,normal175,2112.3768979974184,4,4,0,0,0,0
516,Slow,slow174,3599.7938363051744,0,0,0,0,0,0
517,Dangerous,dang175,2101.615477796366,152,16,80,9,45,2
518,Normal,normal176,4158.332165229865,1,0,0,0,0,1
519,Slow,slow175,2107.960387850622,0,0,0,0,0,0
520,Normal,normal177,3078.4105800621364,26,20,5,0,0,1
521,Dangerous,dang176,4240.702161113022,140,1,101,2,34,2
522,Dangerous,dang177,3072.681119960784,200,56,106,0,38,0
523,Slow,slow176,4161.9048209042585,0,0,0,0,0,0
524,Normal,normal178,5707.613663836376,5,4,1,0,0,0
525,Slow,slow177,3049.8135517287565,0,0,0,0,0,0
526,Dangerous,dang178,5805.121336594693,161,4,149,0,8,0
527,Normal,normal179,3444.8216485876032,31,29,0,0,0,2
528,Dangerous,dang179,3731.3812313364033,59,52,7,0,0,0
529,Slow,slow178,5688.949582230725,1,0,0,0,0,1
530,Normal,normal180,3214.260776449519,5,5,0,0,0,0
531,Slow,slow179,3439.961409680799,1,0,0,0,0,1
532,Dangerous,dang180,3212.3127722794607,115,62,19,0,33,1
533,Normal,normal181,5427.48981919215,106,105,0,0,0,1
534,Slow,slow180,3211.135143959625,0,0,0,0,0,0
535,Dangerous,dang181,5689.816639072062,76,72,1,0,2,1
536,Normal,normal182,877.573903633573,10,10,0,0,0,0
537,Dangerous,dang182,872.1084493534004,26,16,8,1,1,0
538,Slow,slow181,5424.693197136543,0,0,0,0,0,0
539,Slow,slow182,880.5416872973359,0,0,0,0,0,0
540,Normal,normal184,6383.258480120836,6,5,0,0,0,1
541,Normal,normal183,2415.8878786334058,3,3,0,0,0,0
542,Dangerous,dang184,6663.963035806507,29,8,18,0,3,0
543,Dangerous,dang183,2434.8113264445983,175,12,86,1,75,1
544,Normal,normal185,2885.529451416533,66,65,0,0,0,1
545,Slow,slow184,6392.808570505,1,0,0,0,0,1
546,Slow,slow183,2405.01794606371,0,0,0,0,0,0
547,Dangerous,dang185,2898.5562807951746,150,72,73,0,5,0
548,Normal,normal186,5701.199720383873,3,2,1,0,0,0
549,Slow,slow185,2890.3792118627157,1,0,0,0,0,1
550,Dangerous,dang186,5688.646730656583,361,60,129,7,165,0
551,Normal,normal187,5249.73400471411,4,4,0,0,0,0
552,Slow,slow186,5695.974443647973,0,0,0,0,0,0
553,Dangerous,dang187,5254.647640066437,189,70,116,0,3,0
554,Normal,normal188,2053.1700744915133,78,77,0,0,0,1
555,Slow,slow187,5241.556987841912,0,0,0,0,0,0
556,Dangerous,dang188,2048.7638813339645,200,80,97,1,21,1
557,Normal,normal189,5374.180920737663,15,13,0,0,0,2
558,Slow,slow188,2047.8588121814785,1,0,0,0,0,1
559,Dangerous,dang189,5432.827011202844,125,55,57,4,9,0
560,Normal,normal190,4097.660525456658,3,1,0,0,0,2
561,Dangerous,dang190,4084.8347600900006,73,67,5,0,1,0
562,Slow,slow189,5344.419020913192,1,1,0,0,0,0
563,Slow,slow190,4051.3621451052036,0,0,0,0,0,0
564,Normal,normal191,3981.9188523040343,1,1,0,0,0,0
565,Dangerous,dang191,3971.530191884782,266,20,141,8,96,1
566,Normal,normal192,2643.7520815748376,3,3,0,0,0,0
567,Slow,slow191,3965.5206015337503,0,0,0,0,0,0
568,Dangerous,dang192,2668.8670593421202,37,14,22,0,0,1
569,Normal,normal193,3972.175794560488,6,5,0,0,0,1
570,Slow,slow192,2643.5394019006976,1,0,0,0,0,1
